,NAME,AREALAND,P0010001,POPULATION DENSITY
1216,Baltimore city,209643241,620961,2961.989125134733
1207,Montgomery County,1272343169,971777,763.7695738672213
1208,Prince George's County,1250163582,863420,690.6456182467808
1195,Baltimore County,1549594703,805029,519.5093907080811
1194,Anne Arundel County,1074590684,537656,500.3356236056854
1205,Howard County,649416399,287085,442.0661388318283
1204,Harford County,1132055422,244826,216.2667968741905
1196,Calvert County,552061078,88737,160.7376493946563
1198,Carroll County,1159264845,167134,144.17240436545802
1202,Frederick County,1709964627,233385,136.48527947005303
1213,Washington County,1185644157,147430,124.34590861817911
1200,Charles County,1185563933,146551,123.61290346372236
1210,St. Mary's County,925092041,105151,113.66544661473311
1199,Cecil County,896842957,101108,112.73768635950832
1214,Wicomico County,969804281,98733,101.80713978514599
1193,Allegany County,1098563627,75087,68.35016029526709
1212,Talbot County,695511159,37782,54.322636683964404
1209,Queen Anne's County,963235987,47798,49.622315450305116
1215,Worcester County,1212841011,51454,42.424356971220526
1197,Caroline County,827292416,33066,39.96893886671385
1211,Somerset County,828079452,26470,31.965531732575826
1206,Kent County,717505271,20197,28.148922128266847
1201,Dorchester County,1400575316,32618,23.28900104648139
1203,Garrett County,1675989023,30097,17.957754846226102
